dataset,min_silence_len,silence_thresh,N_words,precision,recall,f1,MAE,RMSE,R2
crowd_train,50,-23,2,1,0.6330136294800606,0.7752704791344668,2.513377082281676,3.614500495420949,0
crowd_train,50,-30,2,1,0.6325088339222615,0.774891774891775,2.528520949015649,3.708660750641914,0
crowd_train,50,-24,2,1,0.6320040383644624,0.774512836374884,2.498233215547703,3.623706230508727,0
crowd_train,100,-15,2,1,0.6314992428066633,0.7741336633663366,2.888440181726401,4.839785477993155,0
crowd_train,50,-25,2,1,0.629984856133266,0.77299473521214,2.484098939929329,3.585193061501467,0
crowd_train,100,-38,2,1,0.629984856133266,0.77299473521214,2.876829883897022,4.601154300665876,0
crowd_train,50,-26,2,1,0.6294800605754669,0.7726146220570013,2.504795557799091,3.631290343779724,0
crowd_train,200,-24,2,1,0.6284704694598687,0.7718536887786732,2.809692074709742,4.447120457493006,0
crowd_train,150,-32,2,1,0.6279656739020697,0.7714728682170542,2.884906612821807,4.636455416465719,0
crowd_train,50,-34,2,1,0.6249369005552751,0.7691829760795277,2.65017667844523,4.022275180474463,0
crowd_train,50,-22,2,1,0.624432104997476,0.7688004972032317,2.549722362443211,3.621197896407624,0
crowd_train,200,-25,2,1,0.624432104997476,0.7688004972032317,2.86673397274104,4.507943518980469,0
crowd_train,150,-16,2,1,0.624432104997476,0.7688004972032317,2.975769813225644,4.962606258645176,0
crowd_train,200,-18,2,1,0.6239273094396769,0.7684177805408766,2.885411408379606,4.682337094478583,0
crowd_train,100,-39,2,1,0.6239273094396769,0.7684177805408766,2.934376577486118,4.715371664500751,0
crowd_train,50,-21,2,1,0.6229177183240787,0.767651632970451,2.516405855628471,3.606531177989341,0
crowd_train,200,-26,2,1,0.618879353861686,0.7645774867477394,2.917718324078748,4.59901444570268,0
crowd_train,50,-35,2,1,0.6163553760726905,0.7626483447845097,2.702675416456335,4.140881006177253,0
crowd_train,150,-33,2,1,0.6163553760726905,0.7626483447845097,2.95002523977789,4.744241175482744,0
crowd_train,200,-27,2,1,0.6163553760726905,0.7626483447845097,2.959616355376073,4.711837585015196,0
crowd_train,150,-34,2,1,0.6153457849570924,0.7618750000000001,3.01110550227158,4.844737253039049,0
crowd_train,100,-40,2,1,0.6143361938414942,0.7611006879299562,3.017163048965169,4.815264723396385,0
crowd_train,300,-15,3,1,0.6138313982836952,0.7607131685955584,4.099444724886421,6.199078272499181,0
crowd_train,200,-28,2,1,0.6118122160524987,0.7591606639523959,3.023725391216557,4.842392306586011,0
crowd_train,50,-20,2,1,0.6108026249369005,0.758382952052648,2.517415446744069,3.615198720260931,0
